post_id,u_fem,u_mal,t_fem,t_mal,tags,ff_co,fm_co,mf_co,mm_co,frd_co,latino,non_latino,trigram1,freq_t1,trigram2,freq_t2,trigram3,freq_t3,trigram4,freq_t4,trigram5,freq_t5,neg_avg,pos_avg,neu_avg,ss_comments,fem_ss,mal_ss,lat_ss,nlat_ss
1405630409737397_1579053782395058,36,19,24,12,36,15,9,9,3,6,38,17,Abreu Alma Gabriela,2,ponen mentol a,2,mentol a to,2,porqu̩ Le ponen,2,Le ponen mentol,2,0.016763636,0.123418182,0.859836364,0.335364706,0.343233333,0.3265125,0.353725,0.2913
1405630409737397_1579053365728433,255,176,126,121,247,76,73,50,48,54,303,128,I love Diego,4,love Diego Luna,4,what s up,4,You Qu̩ pedo,3,need to remain,2,0.029264501,0.111213457,0.845605568,0.291557037,0.330808974,0.23784386,0.294262766,0.285353659
1405630409737397_1579053099061793,23,13,2,2,4,2,2,0,0,0,24,12,didn t like,4,arroz con leche,3,I used to,3,used to hate,3,I ve always,2,0.131722222,0.11225,0.756055556,-0.07822963,0.014438889,-0.263566667,-0.0918875,-0.058363636
1405630409737397_1578981429068960,287,159,167,111,278,99,73,68,38,93,318,128,Acosta my mom,2,say it like,2,when I wa,2,are so accurate,2,of these are,2,0.009381166,0.091558296,0.899060538,0.394523232,0.354829851,0.47763125,0.40423913,0.372176667
1405630409737397_1578981325735637,36,17,11,3,14,8,2,3,1,1,32,21,Why are people,2,don t just,2,and move on,2,type of nonsense,2,you even if,2,0.143169811,0.136660377,0.682415094,-0.029891176,-0.087263636,0.075291667,-0.092942857,0.071961538
1405630409737397_1578981205735649,15,4,5,9,14,4,9,1,0,2,14,5,biting another player,1,saw wa one,1,Sarahi Gutierrez Carlos,1,Noel Ruiz Alma,1,TE AGO TAGG,1,0.018,0.015578947,0.913789474,-0.06065,0.8074,-0.9287,-0.06065,nan
1405630409737397_1578981075735662,60,21,7,3,10,6,1,1,2,1,54,27,El Chapo s,7,Chapo s wife,6,El chapos wife,3,Chapos wife is,3,look like Kim,3,0.146320988,0.141283951,0.675358025,0.034401852,0.026119512,0.060523077,-0.000684375,0.085436364
1405630409737397_1578843909082712,21,11,10,7,17,4,6,6,1,4,20,12,it is a,2,on and on,2,is a life,2,it is seeing,2,get to experience,1,0.057375,0.08628125,0.85634375,0.134308333,0.1135125,0.1759,-0.012985714,0.34052
1405630409737397_1578530429114060,43,18,5,5,10,3,4,2,1,2,41,20,can t even,3,the 90 s,2,year and year,2,stop with the,2,need to get,2,0.078819672,0.119606557,0.735983607,0.19501875,0.169480952,0.243772727,0.436577273,-0.33641
1405630409737397_1578540422446394,27,10,22,4,26,17,3,5,1,3,26,11,Monyy Trevi̱o D,2,foto me recuerda,1,el ranchero hahah,1,Rosie Reymundo Saldana,1,girl lol Diana,1,0.013081081,0.130459459,0.802432432,0.386845455,0.560328571,0.08325,0.374383333,0.4018
1405630409737397_1578545035779266,15,9,0,0,0,0,0,0,0,0,16,8,this young man,3,in this country,3,sing it in,2,I don t,2,don t know,2,0.112708333,0.1695,0.676125,0.04609,0.106657143,-0.095233333,0.162742857,-0.2261
