"PostID","FBlink","Mitulink","Headline","ShareText","Type","Category","DatePosted","HourPosted","Hour","Day","Month","Reach","Comments","Likes","Shares","TotalInter","InterRate","Clicks","CTR","TimesRepost","Reposted","RepostOrder","Originals","Reposts","ss_headlines","ss_comments","category"
"1405630409737397_1555884338045336","https://www.facebook.com/wearemitu/posts/1555884338045336","https://www.wearemitu.com/mitu-voice/times-vicente-fernandez-dgaf/","9 Reasons You HAVE TO Follow Vicente Fernandez on IG and Snap","He's actually pretty hilarious.","Link","Celebrity & Gossip",2016-02-19,"3:00:00 p. m.",15,5,2,447780,583,5417,590,6590,0.0147,15164,334,"6","1","0","1","0",0,0.364511321,"Celebrity & Gossip"
"1405630409737397_1556217651345338","https://www.facebook.com/wearemitu/posts/1556217651345338","https://www.wearemitu.com/mitu-voice/my-parents-are-butchers-and-housekeepers-and-what/","Students Respond to Trump Supporters Who Tried Shaming Latinos","A Trump supporter yelled, “Clean my hotel room, b***” to a Latina protestor in Texas. The way these Latinos responded will make you proud.","Link","Identities",2016-02-20,"12:00:00 p. m.",12,6,2,600049,490,6387,1578,8455,0.0141,22482,370,"2","1","2","0","1",0.4404,0.148779012,"Identities"
"1405630409737397_1556220251345078","https://www.facebook.com/wearemitu/posts/1556220251345078","https://www.wearemitu.com/mitu-life/our-parents-were-recycling-before-we-had-the-recycle-emoji/","Our Parents Were Recycling Before It Even Existed","Latinos were green before it was cool.","Link","Family & Friends",2016-02-20,"2:00:00 p. m.",14,6,2,160328,56,1678,181,1915,0.0119,2135,117,"4","1","2","0","1",0,0.322188889,"Family & Friends"
"1405630409737397_1556220914678345","https://www.facebook.com/wearemitu/posts/1556220914678345","https://www.wearemitu.com/mitu-voice/11-things-that-are-just-plain-wrong-in-the-were-all-mexican-video/","11 Things that Make Absolutely No Sense in the Estefan’s Song “We’re All Mexican”","Gloria Estefan’s “We’re All Mexican” song is actually kind of offensive. #FAIL","Link","Music",2016-02-20,"3:00:00 p. m.",15,6,2,157756,62,290,32,384,0.0024,4365,270,"3","1","3","0","1",-0.3597,-0.132026923,"Music"
"1405630409737397_1556380077995762","https://www.facebook.com/wearemitu/posts/1556380077995762","https://www.wearemitu.com/mitu-voice/top-telenovelas-mexico-ripped-off-and-made-better/","Mexico Has No Problem Admitting They Stole These Telenovelas","And you thought Rebelde was Mexican...","Link","TV & Movies",2016-02-20,"7:00:00 p. m.",19,6,2,192413,79,781,55,915,0.0048,5885,300,"5","1","5","0","1",-0.5994,0.448990323,"TV & Movies"
"1405630409737397_1556380877995682","https://www.facebook.com/wearemitu/posts/1556380877995682","https://www.wearemitu.com/mitu-life/7-quotes-from-la-dona-maria-felix-that-will-get-you-through-the-week/","7 Quotes from La Doña María Félix that Will Get You through the Week","María Félix quotes that are more relatable now than ever before.","Link","Identities",2016-02-20,"9:00:00 p. m.",21,6,2,217525,47,1750,327,2124,0.0098,5386,238,"5","1","4","0","1",0,0.519825,"Identities"
"1405630409737397_1556463241320779","https://www.facebook.com/wearemitu/posts/1556463241320779","https://www.wearemitu.com/mitu-voice/11-latina-sexpectations-the-world-has-of-us/","11 Latina Sexpectations The World Expects Us To Live Up To","Sorry to disappoint, boys.","Link","Sex & Relationships",2016-02-21,"8:00:00 a. m.",8,7,2,353567,88,883,118,1089,0.0031,16469,459,"2","1","0","1","0",0,0.007841176,"Sex & Relationships"
"1405630409737397_1556593864641050","https://www.facebook.com/wearemitu/posts/1556593864641050","https://www.wearemitu.com/mitu-world/when-racism-hits-close-to-home-you-need-people-like-this-on-your-side/","Interracial Couple Attacked by Racist Patron, Others Run to Protect Them","“It’s disgusting to see you guys together.”","Link","Identities",2016-02-21,"10:00:00 a. m.",10,7,2,218906,118,652,88,858,0.0039,8788,397,"3","1","3","0","1",-0.6597,0.066451852,"Identities"
"1405630409737397_1556594071307696","https://www.facebook.com/wearemitu/posts/1556594071307696","https://www.wearemitu.com/mitu-world/quiz-can-you-tell-which-celeb-is-latino/","Quiz: Can You Tell Who on the List is Latino?","QUIZ: Which one of these celebs is Latino?  a) Ariana Grande  b) Vanessa Hudgens  c) Bruno Mars.","Link","Celebrity & Gossip",2016-02-21,"12:00:00 p. m.",12,7,2,205088,152,216,27,395,0.0019,6150,294,"4","1","4","0","1",0,-0.093425,"Celebrity & Gossip"
"1405630409737397_1556866634613773","https://www.facebook.com/wearemitu/posts/1556866634613773","https://www.wearemitu.com/mitu-voice/11-things-latinos-need-to-stop-apologizing-for/","11 Things Latinos Need to Stop Apologizing For","You'll never say ""sorry"" again...","Link","Latino Culture",2016-02-22,"6:00:00 a. m.",6,1,2,232580,52,958,242,1252,0.0054,8404,356,"5","1","3","0","1",-0.3612,0.0222875,"Latino Culture"
