"status_id","date","post_type","from_name","link_clicks","post_reach","post_reach_viral","post_video_views","total_comments","total_likes","total_shares"
"1405630409737397_1811037682529999",2017-08-04,"photo","We are mitu",151,446310,113960,0,2718,8640,1018
"1405630409737397_1811178865849214",2017-08-04,"link","We are mitu",24070,312167,8738,92,61,719,17
"1405630409737397_1811319902501777",2017-08-04,"video","We are mitu",105,1196162,433825,378705,8012,21627,4274
"1405630409737397_1811321465834954",2017-08-04,"video","We are mitu",178,611060,26926,166950,156,2246,0
"1405630409737397_1811325309167903",2017-08-04,"photo","We are mitu",83,942829,322177,0,3300,17996,1538
"1405630409737397_1811326952501072",2017-08-04,"video","We are mitu",68,463054,37892,86642,50,1683,479
"1405630409737397_1811371395829961",2017-08-06,"video","We are mitu",280,3370507,1187371,662076,10322,26323,5480
"1405630409737397_1811376925829408",2017-08-06,"photo","We are mitu",17,1007247,497582,0,1805,36445,5499
"1405630409737397_1811377145829386",2017-08-06,"photo","We are mitu",38,533813,120840,0,2142,6803,980
"1405630409737397_1811377815829319",2017-08-06,"photo","We are mitu",80,486246,113712,0,701,8827,837
"1405630409737397_1811378212495946",2017-08-06,"photo","We are mitu",96,476234,77821,0,2374,4002,358
"1405630409737397_1811378469162587",2017-08-06,"photo","We are mitu",55,903227,334681,0,1975,23480,1841
"1405630409737397_1811378689162565",2017-08-06,"photo","We are mitu",105,520916,130266,0,1235,8286,785
"1405630409737397_1811378849162549",2017-08-06,"photo","We are mitu",68,305697,48993,0,637,4140,379
"1405630409737397_1811379829162451",2017-08-07,"photo","We are mitu",63,912821,322205,0,4901,14606,2391
"1405630409737397_1811382349162199",2017-08-04,"link","We are mitu",3046,239979,22925,264,431,2483,122
"1405630409737397_1811386922495075",2017-08-05,"video","We are mitu",108,1370748,341306,303990,2415,9686,2801
"1405630409737397_1811387292495038",2017-08-06,"video","We are mitu",170,1971315,994807,584553,5158,26310,7777
"1405630409737397_1811389085828192",2017-08-06,"link","We are mitu",1375,87518,239,43,5,34,4
"1405630409737397_1811389815828119",2017-08-05,"link","We are mitu",3724,143797,1262,128,27,109,12
"1405630409737397_1811390019161432",2017-08-05,"link","We are mitu",3972,108399,1593,94,88,277,9
"1405630409737397_1811390992494668",2017-08-06,"link","We are mitu",5936,180532,4935,99,179,416,27
"1405630409737397_1811392412494526",2017-08-05,"link","We are mitu",6222,337298,17794,32,233,1072,126
"1405630409737397_1811392762494491",2017-08-05,"link","We are mitu",2352,160372,2504,226,57,176,14
"1405630409737397_1811394292494338",2017-08-05,"link","We are mitu",2717,128556,2470,8,21,254,31
"1405630409737397_1811394905827610",2017-08-05,"link","We are mitu",5736,240483,42579,126,887,2538,353
"1405630409737397_1811395285827572",2017-08-06,"link","We are mitu",2078,98358,1464,8,69,189,19
"1405630409737397_1811395725827528",2017-08-06,"link","We are mitu",9587,225397,6419,10,144,302,27
"1405630409737397_1811395965827504",2017-08-06,"link","We are mitu",1359,142689,15297,164,78,1482,231
"1405630409737397_1811399322493835",2017-08-04,"photo","We are mitu",53,1153214,459833,0,9464,23411,2447
"1405630409737397_1811402645826836",2017-08-04,"photo","We are mitu",201,2698475,1906160,0,26653,76485,11047
"1405630409737397_1811414905825610",2017-08-05,"photo","We are mitu",9,210721,22865,0,388,2057,258
"1405630409737397_1811419072491860",2017-08-05,"photo","We are mitu",24,112201,8010,0,131,1086,131
"1405630409737397_1811429645824136",2017-08-06,"link","We are mitu",1421,130975,4837,12,17,575,38
"1405630409737397_1811430632490704",2017-08-06,"link","We are mitu",6005,191258,4724,165,28,319,44
"1405630409737397_1811432565823844",2017-08-05,"photo","We are mitu",31,138876,10957,0,183,1171,148
"1405630409737397_1811434335823667",2017-08-05,"photo","We are mitu",139,693319,264061,0,2012,18176,3574
